Spacecraft: ISS

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
11 Sep 2024 12:16:02.001    11 Sep 2024 12:16:17.629      15.627958195    Earth           Penumbra    1             1728.4791562
11 Sep 2024 12:16:17.629    11 Sep 2024 12:44:35.090      1697.4613436    Earth           Umbra       1             1728.4791562
11 Sep 2024 12:44:35.090    11 Sep 2024 12:44:50.480      15.389854414    Earth           Penumbra    1             1728.4791562
11 Sep 2024 13:48:54.396    11 Sep 2024 13:49:09.937      15.540476900    Earth           Penumbra    2             1732.9623949
11 Sep 2024 13:49:09.937    11 Sep 2024 14:17:32.057      1702.1202043    Earth           Umbra       2             1732.9623949
11 Sep 2024 14:17:32.057    11 Sep 2024 14:17:47.358      15.301713673    Earth           Penumbra    2             1732.9623949
11 Sep 2024 15:21:46.731    11 Sep 2024 15:22:02.183      15.452331444    Earth           Penumbra    3             1737.4649479
11 Sep 2024 15:22:02.183    11 Sep 2024 15:50:28.982      1706.7993959    Earth           Umbra       3             1737.4649479
11 Sep 2024 15:50:28.982    11 Sep 2024 15:50:44.196      15.213220578    Earth           Penumbra    3             1737.4649479
11 Sep 2024 16:54:38.984    11 Sep 2024 16:54:54.348      15.363826719    Earth           Penumbra    4             1741.9806622
11 Sep 2024 16:54:54.348    11 Sep 2024 17:23:25.840      1711.4925222    Earth           Umbra       4             1741.9806622
11 Sep 2024 17:23:25.840    11 Sep 2024 17:23:40.965      15.124313207    Earth           Penumbra    4             1741.9806622
11 Sep 2024 18:27:31.136    11 Sep 2024 18:27:46.412      15.275509015    Earth           Penumbra    5             1746.5049631
11 Sep 2024 18:27:46.412    11 Sep 2024 18:56:22.606      1716.1943751    Earth           Umbra       5             1746.5049631
11 Sep 2024 18:56:22.606    11 Sep 2024 18:56:37.641      15.035078942    Earth           Penumbra    5             1746.5049631
11 Sep 2024 20:00:23.191    11 Sep 2024 20:00:38.378      15.187115560    Earth           Penumbra    6             1751.0592339
11 Sep 2024 20:00:38.378    11 Sep 2024 20:29:19.305      1720.9267496    Earth           Umbra       6             1751.0592339
11 Sep 2024 20:29:19.305    11 Sep 2024 20:29:34.250      14.945368795    Earth           Penumbra    6             1751.0592339
11 Sep 2024 21:33:15.197    11 Sep 2024 21:33:30.295      15.097911470    Earth           Penumbra    7             1755.6664651
11 Sep 2024 21:33:30.295    11 Sep 2024 22:02:16.008      1725.7133039    Earth           Umbra       7             1755.6664651
11 Sep 2024 22:02:16.008    11 Sep 2024 22:02:30.863      14.855249715    Earth           Penumbra    7             1755.6664651
11 Sep 2024 23:06:07.204    11 Sep 2024 23:06:22.212      15.007984126    Earth           Penumbra    8             1760.3021238
11 Sep 2024 23:06:22.212    11 Sep 2024 23:35:12.740      1730.5287780    Earth           Umbra       8             1760.3021238
11 Sep 2024 23:35:12.740    11 Sep 2024 23:35:27.506      14.765361662    Earth           Penumbra    8             1760.3021238
12 Sep 2024 00:38:59.203    12 Sep 2024 00:39:14.122      14.918648649    Earth           Penumbra    9             1764.9007058
12 Sep 2024 00:39:14.122    12 Sep 2024 01:08:09.427      1735.3054793    Earth           Umbra       9             1764.9007058
12 Sep 2024 01:08:09.427    12 Sep 2024 01:08:24.104      14.676577819    Earth           Penumbra    9             1764.9007058
12 Sep 2024 02:11:51.128    12 Sep 2024 02:12:05.960      14.831194072    Earth           Penumbra    10            1769.4253172
12 Sep 2024 02:12:05.960    12 Sep 2024 02:41:05.964      1740.0047372    Earth           Umbra       10            1769.4253172
12 Sep 2024 02:41:05.964    12 Sep 2024 02:41:20.554      14.589386014    Earth           Penumbra    10            1769.4253172
12 Sep 2024 03:44:42.920    12 Sep 2024 03:44:57.665      14.745392511    Earth           Penumbra    11            1773.9080756
12 Sep 2024 03:44:57.665    12 Sep 2024 04:14:02.325      1744.6591627    Earth           Umbra       11            1773.9080756
12 Sep 2024 04:14:02.325    12 Sep 2024 04:14:16.828      14.503520331    Earth           Penumbra    11            1773.9080756
12 Sep 2024 05:17:34.563    12 Sep 2024 05:17:49.223      14.659763512    Earth           Penumbra    12            1778.4072019
12 Sep 2024 05:17:49.223    12 Sep 2024 05:46:58.552      1749.3293160    Earth           Umbra       12            1778.4072019
12 Sep 2024 05:46:58.552    12 Sep 2024 05:47:12.970      14.418122359    Earth           Penumbra    12            1778.4072019
12 Sep 2024 06:50:26.085    12 Sep 2024 06:50:40.659      14.573332050    Earth           Penumbra    13            1782.9429048
12 Sep 2024 06:50:40.659    12 Sep 2024 07:19:54.696      1754.0370131    Earth           Umbra       13            1782.9429048
12 Sep 2024 07:19:54.696    12 Sep 2024 07:20:09.028      14.332559681    Earth           Penumbra    13            1782.9429048
12 Sep 2024 08:23:17.540    12 Sep 2024 08:23:32.027      14.486756315    Earth           Penumbra    14            1787.4891903
12 Sep 2024 08:23:32.027    12 Sep 2024 08:52:50.782      1758.7552578    Earth           Umbra       14            1787.4891903
12 Sep 2024 08:52:50.782    12 Sep 2024 08:53:05.029      14.247176168    Earth           Penumbra    14            1787.4891903
12 Sep 2024 09:56:08.984    12 Sep 2024 09:56:23.385      14.401443524    Earth           Penumbra    15            1792.0120884
12 Sep 2024 09:56:23.385    12 Sep 2024 10:25:46.833      1763.4476817    Earth           Umbra       15            1792.0120884
12 Sep 2024 10:25:46.833    12 Sep 2024 10:26:00.996      14.162963186    Earth           Penumbra    15            1792.0120884
12 Sep 2024 11:29:00.438    12 Sep 2024 11:29:14.756      14.317899733    Earth           Penumbra    16            1796.5001248
12 Sep 2024 11:29:14.756    12 Sep 2024 11:58:42.858      1768.1018703    Earth           Umbra       16            1796.5001248
12 Sep 2024 11:58:42.858    12 Sep 2024 11:58:56.938      14.080354816    Earth           Penumbra    16            1796.5001248
12 Sep 2024 13:01:51.883    12 Sep 2024 13:02:06.119      14.235328767    Earth           Penumbra    17            1800.9645425
12 Sep 2024 13:02:06.119    12 Sep 2024 13:31:38.849      1772.7304420    Earth           Umbra       17            1800.9645425
12 Sep 2024 13:31:38.849    12 Sep 2024 13:31:52.848      13.998771762    Earth           Penumbra    17            1800.9645425
12 Sep 2024 14:34:43.287    12 Sep 2024 14:34:57.440      14.152765344    Earth           Penumbra    18            1805.4193680
12 Sep 2024 14:34:57.440    12 Sep 2024 15:04:34.789      1777.3491955    Earth           Umbra       18            1805.4193680
12 Sep 2024 15:04:34.789    12 Sep 2024 15:04:48.706      13.917407161    Earth           Penumbra    18            1805.4193680
12 Sep 2024 16:07:34.625    12 Sep 2024 16:07:48.696      14.070102910    Earth           Penumbra    19            1809.8630939
12 Sep 2024 16:07:48.696    12 Sep 2024 16:37:30.652      1781.9569563    Earth           Umbra       19            1809.8630939
12 Sep 2024 16:37:30.652    12 Sep 2024 16:37:44.489      13.836034702    Earth           Penumbra    19            1809.8630939
12 Sep 2024 17:40:25.881    12 Sep 2024 17:40:39.869      13.987844693    Earth           Penumbra    20            1814.2863726
12 Sep 2024 17:40:39.869    12 Sep 2024 18:10:26.412      1786.5437616    Earth           Umbra       20            1814.2863726
