ISS.UTCGregorian,ISS.UTCModJulian,ISS.ElapsedSecs,ISS.ICRF.X,ISS.ICRF.Y,ISS.ICRF.Z,Earth.ICRF.X,Earth.ICRF.Y,Earth.ICRF.Z,Sun.ICRF.X,Sun.ICRF.Y,Sun.ICRF.Z,SolarSystemBarycenter.ICRF.X,SolarSystemBarycenter.ICRF.Y,SolarSystemBarycenter.ICRF.Z
12 Sep 2024 18:39:42.000,30566.27756944444,0,147346436.6730202,-24254882.70866367,-10477699.05356479,147342281.802399,-24253824.82788895,-10482976.90697793,-970536.7386097908,-620528.518483445,-237853.237188587,0,0,0
12 Sep 2024 18:40:42.000,30566.27826388889,59.99999988125637,147346876.4867166,-24252849.13861708,-10477064.44149821,147342558.5454683,-24252215.92589509,-10482279.49072597,-970536.0556392074,-620528.9737747423,-237853.4455647394,0,0,0
12 Sep 2024 18:42:09.522,30566.27927687173,147.5217176252045,147347482.5987481,-24249878.14160015,-10476181.29014343,147342962.1920635,-24249869.022372,-10481262.17044771,-970535.0593926013,-620529.6379049011,-237853.749521587,0,0,0
12 Sep 2024 18:43:40.780,30566.28033309736,238.7796122347936,147348067.9387397,-24246780.30713048,-10475312.90724819,147343383.0227236,-24247421.92563299,-10480201.41910154,-970534.0206167698,-620530.3303844221,-237854.066453319,0,0,0
12 Sep 2024 18:45:12.451,30566.28139410689,330.4508356726728,147348606.2682899,-24243675.2385443,-10474492.49863574,147343805.7110861,-24244963.73794265,-10479135.86015099,-970532.977135241,-620531.0259988867,-237854.3848199025,0,0,0
12 Sep 2024 18:46:44.163,30566.28245559295,422.1632311237045,147349093.8024152,-24240582.45366545,-10473721.17730528,147344228.5408071,-24242504.43872799,-10478069.81941232,-970531.9331841469,-620531.7219243273,-237854.7033288572,0,0,0
12 Sep 2024 18:48:15.874,30566.28351705878,513.8738786336035,147349529.5867436,-24237510.13962744,-10472996.20241941,147344651.3139775,-24240045.1788982,-10477003.79577406,-970530.8892522156,-620532.4178350568,-237855.0218311287,0,0,0
12 Sep 2024 18:49:47.575,30566.28457841682,605.5752134299837,147349913.4489771,-24234465.06221528,-10472313.99862961,147345073.9957335,-24237586.16130801,-10475937.87716832,-970529.8454253674,-620533.1136736609,-237855.3403004445,0,0,0
12 Sep 2024 18:51:19.266,30566.28563965269,697.2659926861525,147350245.8049818,-24231453.48433613,-10471670.48012457,147345496.5803621,-24235127.41928767,-10474872.07804286,-970528.8017177582,-620533.8094307221,-237855.6587324888,0,0,0
12 Sep 2024 18:52:50.946,30566.28670076351,788.9459671452641,147350527.6222203,-24228481.2806193,-10471061.14271336,147345919.0667314,-24232668.95952457,-10473806.40129649,-970527.7581323683,-620534.5051043443,-237855.9771263953,0,0,0
