lat,1,2,3,4,5,6,7,8,9,10,11,12
85,0,0,0.64,0.62,0.62,0.57,0.5,0.52,0.58,0.65,0,0
75,0,0.66,0.62,0.6,0.58,0.49,0.43,0.44,0.49,0.57,0.65,0
65,0.59,0.55,0.53,0.51,0.45,0.38,0.36,0.38,0.42,0.5,0.56,0.59
55,0.5,0.48,0.44,0.39,0.37,0.35,0.35,0.36,0.37,0.41,0.48,0.51
45,0.45,0.42,0.38,0.34,0.33,0.32,0.31,0.3,0.3,0.34,0.4,0.45
35,0.36,0.35,0.32,0.3,0.28,0.27,0.25,0.24,0.26,0.28,0.32,0.36
25,0.28,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.26,0.28
15,0.22,0.2,0.2,0.2,0.21,0.23,0.25,0.25,0.25,0.23,0.23,0.23
5,0.24,0.22,0.22,0.23,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.25
-5,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.22,0.23,0.23
-15,0.23,0.23,0.21,0.2,0.2,0.21,0.21,0.21,0.21,0.22,0.23,0.23
-25,0.22,0.21,0.22,0.23,0.25,0.26,0.25,0.23,0.23,0.23,0.23,0.23
-35,0.24,0.25,0.26,0.29,0.31,0.33,0.32,0.3,0.29,0.27,0.27,0.26
-45,0.32,0.33,0.35,0.37,0.4,0.41,0.4,0.37,0.35,0.33,0.33,0.33
-55,0.4,0.4,0.42,0.45,0.48,0.51,0.49,0.46,0.44,0.41,0.41,0.4
-65,0.49,0.49,0.51,0.55,0.6,0.61,0.64,0.63,0.61,0.59,0.55,0.51
-75,0.63,0.64,0.65,0.68,0.74,0,0,0.73,0.7,0.69,0.66,0.64
-85,0.67,0.68,0.69,0.74,0,0,0,0,0.72,0.7,0.68,0.67
